"","","","","","","","","","grain mix silo 1","","grain mix silo 2","","Feed3","","Feed4","","Feed5",""
"Cow Number","Robot","Group number","Lac. no","Lactation days","Day production","Avg. Milkings","Programmed Total","Total Rest","Total","Rest Feed","Total","Rest Feed","Total","Rest Feed","Total","Rest Feed","Total","Rest Feed"
"AVG","","","","","","","8.64","2.37","8.64","2.37","0.00","0.00","0","0","0","0","0","0"
"SUM","","","","","","","431.90","118.58","431.90","118.58","0.00","0.00","0","0","0","0","0","0"
"2144","102","4","1","52","10.9","1.1","10.00","6.98","10.00","6.98","0.00","0.00","","","","","",""
"1925","102","5","3","32","22.9","2.0","10.00","5.34","10.00","5.34","0.00","0.00","","","","","",""
"1346","102","5","5","44","19.0","1.6","10.00","4.99","10.00","4.99","0.00","0.00","","","","","",""
"2204","101","4","1","55","11.5","1.9","10.00","4.60","10.00","4.60","0.00","0.00","","","","","",""
"1232","103","5","5","224","16.0","1.6","7.55","4.52","7.55","4.52","0.00","0.00","","","","","",""
"2128","102","4","1","50","21.1","2.4","10.00","4.50","10.00","4.50","0.00","0.00","","","","","",""
"2154","102","4","1","48","19.4","2.1","10.00","4.21","10.00","4.21","0.00","0.00","","","","","",""
"1923","103","5","3","240","11.6","1.3","7.00","3.97","7.00","3.97","0.00","0.00","","","","","",""
"2210","103","4","1","20","17.9","1.6","10.00","3.84","10.00","3.84","0.00","0.00","","","","","",""
"2143","103","4","1","53","17.2","1.9","10.00","3.69","10.00","3.69","0.00","0.00","","","","","",""
"1215","103","5","8","48","26.0","2.0","10.00","3.59","10.00","3.59","0.00","0.00","","","","","",""
"2205","101","4","1","57","15.3","1.9","10.00","3.59","10.00","3.59","0.00","0.00","","","","","",""
"1322","101","5","4","238","18.1","1.0","7.23","3.50","7.23","3.50","0.00","0.00","","","","","",""
"1918","102","5","2","235","11.5","1.9","7.00","3.45","7.00","3.45","0.00","0.00","","","","","",""
"1328","102","5","4","408","12.3","1.1","7.00","3.44","7.00","3.44","0.00","0.00","","","","","",""
"2111","103","5","2","50","24.8","2.0","10.00","3.22","10.00","3.22","0.00","0.00","","","","","",""
"1270","103","5","6","29","30.5","2.3","10.00","2.48","10.00","2.48","0.00","0.00","","","","","",""
"1353","103","5","5","30","23.0","1.7","10.00","2.29","10.00","2.29","0.00","0.00","","","","","",""
"1461","102","5","3","247","29.1","2.1","10.06","2.19","10.06","2.19","0.00","0.00","","","","","",""
"2020","102","5","2","50","30.8","2.3","10.00","2.11","10.00","2.11","0.00","0.00","","","","","",""
"2002","102","5","2","213","23.5","2.0","9.01","2.06","9.01","2.06","0.00","0.00","","","","","",""
"2044","103","5","2","55","27.3","2.0","10.00","2.01","10.00","2.01","0.00","0.00","","","","","",""
"1929","103","5","2","207","16.9","1.9","7.21","1.84","7.21","1.84","0.00","0.00","","","","","",""
"2117","102","4","1","407","9.5","1.6","7.00","1.80","7.00","1.80","0.00","0.00","","","","","",""
"1919","103","5","3","219","15.8","1.9","7.00","1.79","7.00","1.79","0.00","0.00","","","","","",""
"1473","102","5","4","218","26.8","2.6","10.15","1.75","10.15","1.75","0.00","0.00","","","","","",""
"2016","101","5","2","183","21.5","2.1","10.49","1.71","10.49","1.71","0.00","0.00","","","","","",""
"1283","102","5","4","239","20.6","2.0","7.56","1.58","7.56","1.58","0.00","0.00","","","","","",""
"2025","102","4","1","594","15.4","1.9","7.00","1.56","7.00","1.56","0.00","0.00","","","","","",""
"2203","101","4","1","52","19.7","2.0","10.00","1.51","10.00","1.51","0.00","0.00","","","","","",""
"1928","103","5","2","243","13.4","1.7","7.00","1.49","7.00","1.49","0.00","0.00","","","","","",""
"1282","102","5","5","585","9.8","1.7","7.00","1.47","7.00","1.47","0.00","0.00","","","","","",""
"1347","101","5","5","242","21.0","2.0","8.28","1.36","8.28","1.36","0.00","0.00","","","","","",""
"2108","103","4","1","410","12.3","1.6","7.00","1.36","7.00","1.36","0.00","0.00","","","","","",""
"1384","101","5","3","233","23.0","2.0","8.20","1.30","8.20","1.30","0.00","0.00","","","","","",""
"2042","103","4","1","383","17.6","2.0","7.00","1.30","7.00","1.30","0.00","0.00","","","","","",""
"1336","103","5","4","241","18.4","1.9","7.55","1.29","7.55","1.29","0.00","0.00","","","","","",""
"2041","102","5","2","242","17.2","2.0","7.00","1.28","7.00","1.28","0.00","0.00","","","","","",""
"1378","103","5","3","196","26.2","2.4","10.00","1.24","10.00","1.24","0.00","0.00","","","","","",""
"2219","102","4","1","53","14.4","1.6","10.00","1.22","10.00","1.22","0.00","0.00","","","","","",""
"1376","103","5","3","222","23.0","2.0","9.49","1.21","9.49","1.21","0.00","0.00","","","","","",""
"2114","103","5","2","51","23.1","2.0","10.00","1.21","10.00","1.21","0.00","0.00","","","","","",""
"2140","103","4","1","203","13.3","1.9","7.00","1.19","7.00","1.19","0.00","0.00","","","","","",""
"1466","101","5","3","235","24.4","1.9","8.57","1.17","8.57","1.17","0.00","0.00","","","","","",""
"2127","103","4","1","252","9.7","1.3","7.00","1.16","7.00","1.16","0.00","0.00","","","","","",""
"1930","101","5","2","382","16.4","2.0","7.11","1.12","7.11","1.12","0.00","0.00","","","","","",""
"2008","102","5","2","243","20.6","1.9","7.00","1.09","7.00","1.09","0.00","0.00","","","","","",""
"1327","103","5","4","219","22.4","2.0","8.44","1.05","8.44","1.05","0.00","0.00","","","","","",""
"1370","102","5","4","50","36.7","2.1","10.00","1.00","10.00","1.00","0.00","0.00","","","","","",""
"1469","102","5","2","595","14.6","1.9","7.00","1.00","7.00","1.00","0.00","0.00","","","","","",""