"","","","","","","","","","Dead milk time","","","","Milk time","","",""
"Cow Number","Address","Group ","Lactation days","Day production","Last milking succesfull","Milk Visit Date Time","Visit Result","Box Time","LF","RF","LR","RR","LF","RF","LR","RR"
"1134","103","Milking Cows","48","30.40","x","2024-04-12 07:07","Automatic robot stop","1:43","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"1378","103","Milking Cows","196","26.20","x","2024-04-12 07:03","Automatic robot stop","1:28","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"1378","101","Milking Cows","196","26.20","x","2024-04-12 07:07","Automatic robot stop","2:48","0:18","0:20","0:18","0:14","0:46","0:42","0:51","0:58"
"2016","101","Milking Cows","182","29.50","x","2024-04-11 07:42","Connection attempts LR","2:21","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2139","101","Milking Heifers","247","10.70","x","2024-04-11 12:42","Connection attempts LR","2:09","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2134","101","Milking Heifers","248","14.20","x","2024-04-11 01:01","Connection attempts RR","5:32","0:11","0:10","0:11","0:12","0:28","0:33","0:15","0:45"
"1256","103","Milking Cows","200","19.60","x","2024-04-11 12:13","Connection time","6:11","0:11","0:09","0:10","0:00","0:15","0:08","1:09","0:00"
"1256","103","Milking Cows","200","19.60","x","2024-04-11 12:58","Connection time","6:21","0:00","0:10","0:00","0:00","0:00","0:29","0:00","0:00"
"1256","102","Milking Cows","201","18.70","x","2024-04-12 01:03","Connection time","6:17","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"1337","102","Milking Cows","408","11.90","x","2024-04-12 03:03","Connection time","6:19","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"1337","103","Milking Cows","408","11.90","x","2024-04-12 03:25","Connection time","6:16","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"1929","103","Milking Cows","206","16.90","x","2024-04-11 22:52","Connection time","6:13","0:00","0:00","0:09","0:09","0:00","0:00","0:15","0:04"
"2012","101","Milking Cows","219","21.30","x","2024-04-11 23:49","Connection time","6:19","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2117","102","Milking Heifers","406","8.90","x","2024-04-11 20:59","Connection time","6:15","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2117","101","Milking Heifers","406","8.90","x","2024-04-11 21:08","Connection time","6:11","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2117","101","Milking Heifers","406","8.90","x","2024-04-11 21:45","Connection time","6:20","0:10","0:10","0:09","0:09","0:23","0:42","1:00","1:11"
"2127","103","Milking Heifers","251","9.40","x","2024-04-11 01:03","Connection time","6:32","0:00","0:10","0:10","0:13","0:00","0:17","1:36","2:13"
"2129","101","Milking Heifers","243","14.90","","2024-04-12 01:36","Connection time","6:15","0:12","0:00","0:13","0:12","0:36","0:00","0:53","0:39"
"2129","102","Milking Heifers","243","14.90","","2024-04-12 01:45","Connection time","6:11","0:00","0:00","0:10","0:00","0:00","0:00","0:02","0:00"
"2129","101","Milking Heifers","243","14.90","","2024-04-12 01:53","Connection time","6:15","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2129","102","Milking Heifers","243","14.90","","2024-04-12 07:56","Connection time","6:20","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2137","102","Milking Heifers","217","9.20","","2024-04-11 07:50","Connection time","6:27","0:00","0:00","0:09","0:00","0:00","0:00","0:45","0:00"
"2137","102","Milking Heifers","218","9.20","","2024-04-12 08:22","Connection time","6:21","0:00","0:00","0:09","0:00","0:00","0:00","1:06","0:00"
"2137","103","Milking Heifers","218","9.20","","2024-04-12 10:08","Connection time","6:31","0:00","0:00","0:09","0:15","0:00","0:00","1:09","1:09"
"1902","101","Milking Cows","47","28.60","x","2024-04-12 05:44","Dead milk time LR","3:58","0:14","0:12","0:00","0:10","0:49","1:33","0:00","1:34"
"2014","102","Milking Cows","50","35.40","x","2024-04-12 07:10","Dead milk time RR","4:24","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"1256","103","Milking Cows","200","19.60","x","2024-04-11 12:41","Teats not found","8:01","0:09","0:09","0:11","0:10","1:35","1:14","0:50","1:22"
"1256","103","Milking Cows","201","18.70","x","2024-04-12 00:49","Teats not found","13:39","0:10","0:11","0:12","0:13","1:12","1:20","1:26","1:27"
"1256","103","Milking Cows","201","18.70","x","2024-04-12 01:31","Teats not found","5:41","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"1337","101","Milking Cows","408","11.90","x","2024-04-12 03:33","Teats not found","6:01","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"1367","103","Milking Cows","401","15.10","x","2024-04-12 08:56","Teats not found","4:39","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"1920","101","Milking Cows","240","18.80","x","2024-04-12 08:19","Teats not found","4:22","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2026","103","Milking Heifers","601","13.00","x","2024-04-11 09:53","Teats not found","4:49","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2026","103","Milking Heifers","601","13.00","x","2024-04-11 10:31","Teats not found","5:29","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2113","103","Milking Cows","53","31.10","","2024-04-12 09:36","Teats not found","5:20","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2117","101","Milking Heifers","406","8.90","x","2024-04-11 11:01","Teats not found","5:23","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2127","103","Milking Heifers","251","9.40","x","2024-04-11 01:14","Teats not found","4:01","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2127","103","Milking Heifers","251","9.40","x","2024-04-11 01:20","Teats not found","4:19","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"
"2209","103","Milking Heifers","48","17.20","x","2024-04-11 02:04","Teats not found","4:01","0:00","0:00","0:00","0:00","0:00","0:00","0:00","0:00"