"Cow Number","Milk Visit Date Time","Group ","Visit Result","Away","Lactation days","Last Routing Date Time","Last Routing Direction"
"1229","2024-04-12 00:36","Milking Cows","Successful","11:25","238","2024-04-12 00:39","d Grazing B"
"2112","2024-04-11 23:21","Milking Cows","Successful","12:40","26","2024-04-11 23:23","d Grazing B"
"1929","2024-04-11 23:13","Milking Cows","Successful","12:48","207","2024-04-11 23:14","d Grazing B"
"2009","2024-04-11 22:46","Milking Cows","Successful","13:15","237","2024-04-11 22:47","d Grazing B"
"1384","2024-04-11 22:28","Milking Cows","Successful","13:33","233","2024-04-11 22:32","d Grazing B"
"2031","2024-04-11 22:17","Milking Cows","Successful","13:45","243","2024-04-11 22:17","d Grazing B"
"2114","2024-04-11 22:12","Milking Cows","Successful","13:49","51","2024-04-11 22:19","d Grazing B"
"1466","2024-04-11 22:03","Milking Cows","Successful","13:58","235","2024-04-11 22:07","d Grazing B"
"1283","2024-04-11 21:45","Milking Cows","Successful","14:17","239","2024-04-11 21:49","d Grazing B"
"1336","2024-04-11 21:07","Milking Cows","Successful","14:55","241","2024-04-11 21:17","d Grazing B"
"2127","2024-04-12 02:00","Milking Heifers","Successful","10:02","252","2024-04-12 02:07","d Grazing B"
"2205","2024-04-12 01:29","Milking Heifers","Successful","10:32","57","2024-04-12 01:32","d Grazing B"
"2219","2024-04-12 01:28","Milking Heifers","Successful","10:34","53","2024-04-12 01:29","d Grazing B"
"2136","2024-04-12 01:08","Milking Heifers","Successful","10:53","195","2024-04-12 01:34","d Grazing B"
"2130","2024-04-12 00:57","Milking Heifers","Successful","11:04","222","2024-04-12 00:58","d Grazing B"
"2139","2024-04-11 23:39","Milking Heifers","Successful","12:22","248","2024-04-11 23:42","d Grazing B"