"Cow Number","Lac. no","Birthday","Calving date","Lactation days","Sire","Day production","Reproduction","Attention First Heat","Last heat","Heat Remarks","Weight","Ins. Date","Since Insemination","Attention Inseminate","Inseminator","Insemination No","Sire","Pregnancy Check Date","Days Pregnant","Days To Dry Off","Dry off days","Dry off date","Expected calving date","Reminder Text","Reminder Date","Att. Reminder"
"AVG","","","","0","","0.0","","","","","","","","","","","","","","","0","","","","",""
"SUM","","","","","","0.0","","","","","","","","","","","","","","","","","","","",""
"2131","","2021-08-11","2021-08-11","","","0.0","Open","","","","369.00","2023-11-29","135","x","Chris Kendall WWS","3","AUGUSTUS","2024-02-06","","","","","","","",""
"2132","","2021-08-12","2021-08-12","","","0.0","Open","","","","373.00","2023-11-30","134","x","Chris Kendall WWS","5","AMEN-PP","2024-02-06","","","","","","","",""
"2150","","2021-09-19","2021-09-19","","BUFFALO","0.0","Open","","","","275.00","2023-11-10","154","x","Chris Kendall WWS","2","CANDY-PP","2024-02-06","","","","","","","",""
"2221","","2022-03-21","2022-03-21","","MIRAND","0.0","Open","","","","178.00","2023-11-28","136","x","Chris Kendall WWS","3","AMEN-PP","2024-02-06","","","","","","","",""
"2224","","2022-03-25","2022-03-25","","MIRAND","0.0","Open","","","","146.00","2023-12-01","133","x","Chris Kendall WWS","3","AMEN-PP","2024-02-06","","","","","","","",""
"2230","","2022-07-30","2022-07-30","","CONTARDO","0.0","Never inseminated","x","","","225.00","","","x","","","","","","","","","","","",""
"2231","","2022-08-02","2022-08-02","","CHILLI","0.0","Never inseminated","x","","","352.00","","","x","","","","","","","","","","","",""
"2233","","2022-08-05","2022-08-05","","CONTARDO","0.0","Never inseminated","x","","","289.00","","","x","","","","","","","","","","","",""
"2235","","2022-08-07","2022-08-07","","CHILLI","0.0","Never inseminated","x","","","351.00","","","x","","","","","","","","","","","",""
"2238","","2022-08-09","2022-08-09","","CHILLI","0.0","Open","","","","326.00","2023-11-30","134","x","Chris Kendall WWS","2","AUGUSTUS","2024-02-06","","","","","","","",""
"2239","","2022-08-12","2022-08-12","","CHILLI","0.0","Never inseminated","x","","","296.00","","","x","","","","","","","","","","","",""
"2240","","2022-08-17","2022-08-17","","RIVERBEND","0.0","Never inseminated","x","","","288.00","","","x","","","","","","","","","","","",""
"2241","","2022-08-17","2022-08-17","","","0.0","Never inseminated","x","","","257.00","","","x","","","","","","","","","","","",""
"2242","","2022-08-19","2022-08-19","","RIVERBEND","0.0","Never inseminated","x","","","282.00","","","x","","","","","","","","","","","",""
"2245","","2022-08-21","2022-08-21","","CONTARDO","0.0","Open","","","","314.00","2023-11-10","154","x","Chris Kendall WWS","1","CANDY-PP","2024-02-06","","","","","","","",""
"2246","","2022-08-22","2022-08-22","","CONTARDO","0.0","Never inseminated","x","","","289.00","","","x","","","","","","","","","","","",""
"2247","","2022-08-23","2022-08-23","","CONTARDO","0.0","Never inseminated","x","","","275.00","","","x","","","","","","","","","","","",""
"2249","","2022-08-24","2022-08-24","","CONTARDO","0.0","Never inseminated","x","","","303.00","","","x","","","","","","","","","","","",""
"2252","","2022-08-26","2022-08-26","","Herd Bull","0.0","Open","","","","339.00","2023-12-01","133","x","Chris Kendall WWS","2","AUGUSTUS","2024-02-06","","","","","","","",""
"2254","","2022-08-27","2022-08-27","","CHILLI","0.0","Never inseminated","x","","","312.00","","","x","","","","","","","","","","","",""
"2300","","2023-02-16","2023-02-16","","CHILLI","0.0","Never inseminated","","","","46.00","","","x","","","","","","","","","","","",""
"2301","","2023-02-21","2023-02-21","","CHILLI","0.0","Never inseminated","","","","53.50","","","","","","","","","","","","","","",""
"2304","","2023-02-26","2023-02-26","","DYNAMITE","0.0","Never inseminated","","","","70.50","","","","","","","","","","","","","","",""
"2303","","2023-02-26","2023-02-26","","HAILSTONE","0.0","Never inseminated","","","","49.50","","","","","","","","","","","","","","",""
"2305","","2023-02-27","2023-02-27","","CHILLI","0.0","Never inseminated","","","","55.50","","","","","","","","","","","","","","",""
"2306","","2023-02-27","2023-02-27","","","0.0","Never inseminated","","","","55.50","","","","","","","","","","","","","","",""
"2307","","2023-02-27","2023-02-27","","CHILLI","0.0","Never inseminated","","","","46.50","","","","","","","","","","","","","","",""
"2308","","2023-02-27","2023-02-27","","CHILLI","0.0","Never inseminated","","","","57.00","","","","","","","","","","","","","","",""
"2310","","2023-02-28","2023-02-28","","DYNAMITE","0.0","Never inseminated","","","","54.00","","","","","","","","","","","","","","",""
"2309","","2023-02-28","2023-02-28","","CHILLI","0.0","Never inseminated","","","","48.50","","","","","","","","","","","","","","",""
"2311","","2023-03-01","2023-03-01","","HAILSTONE","0.0","Never inseminated","","","","62.00","","","","","","","","","","","","","","",""
"2312","","2023-03-02","2023-03-02","","HAILSTONE","0.0","Never inseminated","","","","60.00","","","","","","","","","","","","","","",""
"2313","","2023-03-02","2023-03-02","","CHILLI","0.0","Never inseminated","","","","64.50","","","","","","","","","","","","","","",""
"2314","","2023-03-02","2023-03-02","","CHILLI","0.0","Never inseminated","","","","65.00","","","","","","","","","","","","","","",""
"2316","","2023-03-05","2023-03-05","","HAILSTONE","0.0","Never inseminated","","","","68.00","","","","","","","","","","","","","","",""
"2315","","2023-03-05","2023-03-05","","HAILSTONE","0.0","Never inseminated","","","","53.50","","","","","","","","","","","","","","",""
"2317","","2023-03-08","2023-03-08","","DYNAMITE","0.0","Never inseminated","","","","68.50","","","","","","","","","","","","","","",""
"2318","","2023-03-08","2023-03-08","","DYNAMITE","0.0","Never inseminated","","","","56.50","","","","","","","","","","","","","","",""
"2319","","2023-03-09","2023-03-09","","Herd Bull","0.0","Never inseminated","","","","60.00","","","","","","","","","","","","","","",""